Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code
Green,completed,2025-02-03T13:01:56.000Z,2025-02-03T13:12:15.000Z,2025-02-03T13:48:10.000Z,25.241363635790616,2155,0.1,46.38,0.0,USD
UberX,completed,2025-02-03T12:34:28.000Z,2025-02-03T12:39:33.000Z,2025-02-03T12:44:45.000Z,1.1129950361796535,312,0.1,8.62,0.0,USD
UberX,completed,2025-02-03T12:03:10.000Z,2025-02-03T12:12:03.000Z,2025-02-03T12:20:20.000Z,3.049397792955392,497,0.1,12.81,0.0,USD
UberX,completed,2025-02-03T11:27:26.000Z,2025-02-03T11:35:27.000Z,2025-02-03T12:02:39.000Z,20.354499599469015,1632,0.1,41.12,0.0,USD
UberX,completed,2025-02-03T11:11:33.000Z,2025-02-03T11:17:51.000Z,2025-02-03T11:30:09.000Z,5.950740338498858,738,0.1,22.49,0.0,USD
UberX,completed,2025-02-02T20:59:04.000Z,2025-02-02T21:00:28.000Z,2025-02-02T21:06:20.000Z,2.1480404922373477,352,0.1,11.15,0.0,USD
RIDESHARE,rider_canceled,2025-02-01T06:49:52.000Z,2025-02-01T07:02:31.000Z,,2.0079776487107774,305,0.1,9.8,0.0,USD
UberX,completed,2025-02-01T03:57:26.000Z,2025-02-01T04:05:02.000Z,2025-02-01T04:46:02.000Z,42.852264244313844,2460,1.92,65.33,0.0,USD
RIDESHARE,completed,2025-02-01T03:30:02.000Z,2025-02-01T03:39:22.000Z,2025-02-01T03:55:34.000Z,8.586573154188654,972,1.92,21.99,0.0,USD
Mid-Tier,completed,2025-02-01T03:04:47.000Z,2025-02-01T03:15:32.000Z,2025-02-01T03:28:38.000Z,7.2494804521770035,786,3.01,30.24,0.0,USD
Mid-Tier,completed,2025-02-01T02:49:38.000Z,2025-02-01T02:58:24.000Z,2025-02-01T03:02:51.000Z,2.2553432013785626,267,3.01,11.03,0.0,USD
Mid-Tier,completed,2025-02-01T02:29:58.000Z,2025-02-01T02:42:28.000Z,2025-02-01T02:49:31.000Z,3.82074215251723,423,3.01,13.15,0.0,USD
UberX,completed,2025-02-01T02:06:50.000Z,2025-02-01T02:25:06.000Z,2025-02-01T02:28:24.000Z,1.709817666847773,198,0.1,10.79,0.0,USD
Mid-Tier,completed,2025-02-01T01:59:57.000Z,2025-02-01T02:07:19.000Z,2025-02-01T02:10:10.000Z,1.4016220044985261,171,0.11,16.4,0.0,USD
