City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Los Angeles,Angelino's Burgers/Pizza,2022-04-02T01:08:16.000Z,2022-04-02T01:36:11.000Z,completed,Crush Red Pepper,1,"",,,1.0,53.09,USD
Los Angeles,Angelino's Burgers/Pizza,2022-04-02T01:08:16.000Z,2022-04-02T01:36:11.000Z,completed,Honey Mustard,1,"",,,1.0,53.09,USD
Los Angeles,Angelino's Burgers/Pizza,2022-04-02T01:08:16.000Z,2022-04-02T01:36:11.000Z,completed,Sweet and Spicy Pizza,1,"Large (14\")",6.96,,13.99,53.09,USD
Los Angeles,Angelino's Burgers/Pizza,2022-04-02T01:08:16.000Z,2022-04-02T01:36:11.000Z,completed,BBQ Chicken Tenders (6 pcs),1,"",,,12.95,53.09,USD
Los Angeles,Angelino's Burgers/Pizza,2022-04-02T01:08:16.000Z,2022-04-02T01:36:11.000Z,completed,Drink (Cans),1,Dr. Pepper,0.0,,2.5,53.09,USD
Los Angeles,Pink Taco (Los Angeles),2022-03-27T18:34:55.000Z,2022-03-27T19:22:12.000Z,completed,DIABLO SALSA,1,"",,,1.0,49.94,USD
Los Angeles,Pink Taco (Los Angeles),2022-03-27T18:34:55.000Z,2022-03-27T19:22:12.000Z,completed,FAJITA ENTREE,1,"FLOUR TORTILLAS, MEXICAN RICE, PINTO BEANS",0.0,,19.0,49.94,USD
Los Angeles,Pink Taco (Los Angeles),2022-03-27T18:34:55.000Z,2022-03-27T19:22:12.000Z,completed,GUACAMOLE,1,"",,,13.25,49.94,USD
Los Angeles,Pink Taco (Los Angeles),2022-03-27T18:34:55.000Z,2022-03-27T19:22:12.000Z,completed,FAJITA ENTREE,1,STEAK,4.0,,19.0,49.94,USD
Los Angeles,Super Smash Burgers,2022-01-30T21:04:41.000Z,2022-01-30T21:33:15.000Z,completed,Fries,1,"",,,3.99,24.46,USD
Los Angeles,Super Smash Burgers,2022-01-30T21:04:41.000Z,2022-01-30T21:33:15.000Z,completed,Super Smash Burger,2,Single,0.0,,6.99,24.46,USD
Los Angeles,Super Smash Burgers,2022-01-30T21:04:41.000Z,2022-01-30T21:33:15.000Z,completed,Super Smash Burger,2,"Tomato, Lettuce, Grilled Onions",0.5,,6.99,24.46,USD
Los Angeles,Super Smash Burgers,2022-01-30T21:04:41.000Z,2022-01-30T21:33:15.000Z,completed,Coke,1,"",,,1.99,24.46,USD
Los Angeles,Super Smash Burgers,2022-01-30T21:04:41.000Z,2022-01-30T21:33:15.000Z,completed,Honey Mustard,1,"",,,0.99,24.46,USD
Los Angeles,Stogz (Hollywood),2022-01-29T18:06:21.000Z,2022-01-29T18:32:15.000Z,completed,Backwoods 5 Pack,1,5 Pack Sweet Aromatic,0.0,,12.99,50.72,USD
Los Angeles,Stogz (Hollywood),2022-01-29T18:06:21.000Z,2022-01-29T18:32:15.000Z,completed,Hyppe Max Flow,1,Cola Ice,0.0,,29.99,50.72,USD
Los Angeles,Stogz (Hollywood),2022-01-29T18:06:21.000Z,2022-01-29T18:32:15.000Z,completed,Pop Tarts,1,Brown Sugar Cinnamon,0.0,,2.99,50.72,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Coleslaw Only,1,"",,,2.69,25.44,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Combo Bowl,1,"White Rice, 2-piece Vegetable Spring Rolls, No, Vegetables, Orange Chicken, Habanero Chicken",0.0,,10.09,25.44,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Combo Bowl,1,White Rice and Udon Noodles,1.29,,10.09,25.44,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Combo Bowl,1,Bundle it,3.89,,10.09,25.44,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Spring Rolls,1,4 Veggie Spring Rolls,1.2,,2.49,25.44,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Teriyaki Sauce Only,1,"",,,0.89,25.44,USD
Los Angeles,Yoshinoya (Panorama City),2022-01-19T23:48:17.000Z,2022-01-20T01:18:37.000Z,completed,Combo Bowl,1,Dole Strawberry Lemonade,0.69,,10.09,25.44,USD
Los Angeles,Denny's (13136 Sherman Way),2022-01-18T23:59:36.000Z,2022-01-19T00:19:36.000Z,completed,Build Your Own Grand Slam®,1,"Buttermilk Pancakes, Hash Browns with Cheese",1.49,,11.79,29.41,USD
Los Angeles,Denny's (13136 Sherman Way),2022-01-18T23:59:36.000Z,2022-01-19T00:19:36.000Z,completed,Build Your Own Grand Slam®,1,Minute Maid Orange Juice,4.29,,11.79,29.41,USD
Los Angeles,Denny's (13136 Sherman Way),2022-01-18T23:59:36.000Z,2022-01-19T00:19:36.000Z,completed,Seasoned Fries,1,"",,,5.59,29.41,USD
